image_path,transcription
000/a01-000u.png,"Sentence Database
A01-000
A MOVE to stop Mr. Gaitskell from nominating any more Labour life Peers is to
be made at a meeting of Labour M Ps tomorrow. Mr. Michael Foot has put down
a resolution on the subject and he is to be backed by Mr. Will Griffiths, M P for
Manchester Exchange.
A MOVE to stop
to stop Mr.
Gaits hell from
is to
be
nominating any more Labour Life Peers
made at a
at a meeting at Labour
MPS
domorrow.
Mr. Michael Foot has
put down a resolution
on the subject
and he is to be backed
by Mr. Win
Griffiths,
MP for Manchester Exchange.
Name:"
000/a01-003u.png,"Sentence Database
A01-003
Though they may gather some Left-wing support, a large majority of Labour M Ps
are likely to turn down the Foot-Griffiths resolution. Mr. Foot's line will be that as
Labour MPs opposed the Government Bill which brought life peers into existence,
they should not now put forward nominees. He believes that the House of Lords
should be abolished and that Labour should not take any steps which would appear
to ""prop up"" an out-dated institution.
Though they may gather some Left-wing
support,
MP are likely to turn down
a large majority of Labour
the Foot
Griffitus resolution. Mr. Foot's wie will
be that as
Labour MP, opposed the
Government Bill which brought life peers
into existence, mey schould not
now put
forward nominees. He believes that the
House of Lords should be abolished and
that Labou should not take
which would appear to a prop up
алу
4
she po
au out.
Name:"
000/a01-007u.png,"Sentence Database
A01-007
Since 1958, 13 Labour life Peers and Peeresses have been created. Most Labour sen-
timent would still favour the abolition of the House of Lords, but while it remains
Labour has to have an adequate number of members. THE two rival African Nation-
alist Parties of Northern Rhodesia have agreed to get together to face the challenge
from Sir Roy Welensky, the Federal Premier.
Since 1958, 13 Labour life Peer and
Pelesses
have been created. Most Labor
sentiment would still favour the abolition
of the House of Lords, but while it remains
наше
has to have an adequate number
Labour
of member. THE
two rival
African
Nationalist Parties of Northern Rhodesia
have agreed
to get together to face
the challenge from Sir Roy Welensky,
the Federal
Premier.
Name:"
000/a01-011u.png,"Sentence Database
A01-011
Delegates from Mr. Kenneth Kaunda's United National Independence Party (280,000
members) and Mr. Harry Nkumbula's African National Congress (400,000) will meet
in London today to discuss a common course of action. Sir Roy is violently opposed to
Africans getting an elected majority in Northern Rhodesia, but the Colonial Secretary,
Mr. Iain Macleod, is insisting on a policy of change.
Delegates from Mr. Kenneth
Kenneth Kaunda's
United
National Independence Party
(280,000 members) and Mr.
Harry Nhubula's
African National Congress (400,000 ) will
meet
in
cause of action.
London today to discuss a common
Sir Roy is violently
Opposed to
Africans geting and eleded
majority in Northern Rhodesia, but the
Colonial Secretary, Mr. lain
Macleod,
is insisting
си a
policy of change.
Name:"
000/a01-014u.png,"Sentence Database
A01-014
Sir Roy's United Federal Party is boycotting the London talks on the Protectorate's
future. Said Mr. Nkumbula last night: ""We want to discuss what to do if the British
Government gives in to Sir Roy and the talks fall through. There are bound to be
demonstrations."" Yesterday Sir Roy's chief aide, Mr. Julius Greenfield, telephoned
his chief a report on his talks with Mr. Macmillan at Chequers.
Sir Ray's united Federal Party is
baycatting the Landen talks
Protectorate's future. Said
си кие
Mr. Numbula
last night: ""We want to discuss what to
do if the British
demonstrations.""
Yesterday Sir Ray's chief aide, Mr.
Julin Greenfield, telephoned his chief
a report on
his
talk with Mr. Macmillan
at
спесшего.
Name:"
000/a01-020u.png,"Sentence Database
A01-020
Mr. Macleod went on with the conference at Lancaster House despite the crisis
which had blown up. He has now revealed his full plans to the Africans and Liberals
attending. These plans do not give the Africans the overall majority they are seeking.
African delegates are studying them today. The conference will meet to discuss the
function of a proposed House of Chiefs.
Mr. Macleod
went on with
the conference
at Lancaste Hause despite
the crisis
which had
blown up. He has now evealed
his full plans
to the Africans and
Liberato
attending. These plans do not give the
Africans the
the over all
seeking.
ove all majority they are
African delegates are studying
them today. The conference will meet
to
discuss
the function of a
proposed
Hause of chiefs.
Name:"
000/a01-026u.png,"Sentence Database
A01-026
MR. IAIN MACLEOD, the Colonial Secretary, denied in the Commons last night that
there have been secret negotiations on Northern Rhodesia's future. The Northern
Rhodesia conference in London has been boycotted by the two main settlers' parties
- the United Federal Party and the Dominion Party. But representatives of Sir Roy
Welensky, Prime Minister of the Central African Federation, went to Chequers at the
week-end for talks with Mr. Macmillan.
Mr. IAIN MACLEOD, не
Colonial Secretary,
ваму,
denied in Lue Commons last night that
these
have been
secret negotiations an
Northern Rhodesia's future. The Northern
Rhodesia conference in London
has
beer
baycotted by the two main settles parties-
the United Federal Party and the Dominion
Party. But representatives of Sir Ray
Wellwhy, Prime Minister of the central
African Federation, went
the
week-end
to Chequers at
for talks with Mr. Macmillan
Name:"
000/a01-030u.png,"Sentence Database
A01-030
Northern Rhodesia is a member of the Federation. Mr. Macleod was not at the
week-end meeting. But he told M Ps yesterday: ""I have no knowledge of secret
negotiations."" He said Britain had an obligation to consult the Federal Government.
But the final decision remained with the British Government. Mr. James Callaghan,
Labour's Colonial spokesman, said Sir Roy had no right to delay progress in the talks
by refusing to sit round the conference table.
Northern Rhodesia is a member of the Federation.
Mr. Macleod was
hot at the week-end
meeting. But he hold
MP, yesday: ""I
have no knowledge of secret negotiations.""
He said Britain had
an
obligation to consult
the Federal
But the final
Government.
decision remained with the British Govenment.
Mr. James Callaghan, Labor's Colonial
Spokesman, said Sir Ray had
delay progress in the talks
40
no right to
by refusing
to sit round the conference table.
Name:"
000/a01-043u.png,"Sentence Database
A01-043
Informal talks at Lancaster House will resume today. PRESIDENT KENNEDY today
defended the appointment of a Negro as his Housing Minister. It has aroused strong
opposition from the anti-Negro senators of the Deep South. The negro is Mr. Robert
Weaver of New York. One of his tasks will be to see there is no racial discrimination
in Government and State housing projects.
Informal talks at
Lancaster House will
resume today. PRESIDENT KENNEDY today
defended the appointment of a Negro as
his Hausing Minio. It has
aroused shang
opposition from the anti-Negro senators of the
Deep
South. The negro
is Mr. Robert
Weave of New York.
One of his talks will
be to see
there is no racial discrimination
in Government and
State housing
projects.
Name:"
000/a01-049u.png,"Sentence Database
A01-049
Senator Allen Ellender, of Louisiana, sparked off the opposition by telling a television
audience it was ""current Washington gossip"" that Weaver once had Communist affilia-
tions. The Senate Banking Committee, which is headed by another Southern Senator
- Willis Robertson, of Virginia met today in closed session to discuss Weaver's ap-
pointment. Senator Robertson later disclosed he had sent a letter to Mr. Kennedy
saying he had received several complaints about Weaver's loyalty.
-
Senator
Анем
Evender, of
sparked
louisiana,
off the opposition by teking a
television audience it was
current
и
Whashington gossip"" that
Weave
once had
Communist affiliations. The Senate Barking
Committee, which is headed
Sauthen
by
and the
Sendler
-
Williams Robetson,
of
Virginia - met today in closed session to
discuss
Weaver's appointment.
Senator
lates disclosed he had sent a lelle
Robertson
to Mr. Kennedy saying he had received
Name:"
